### Префиксы/суффиксы

~а/л		* camp
Рудак				Rudak
Рудаки				Rudaki
Рузигазак			Ruz-e-Gazak
Рузигазаксой			Ruz-e-Gazak-Sai
Рузиобнак			Ruz-e-Obnak
Рузиобнаксой			Ruz-e-Obnak-Sai
Рузироват			Ruz-e-Rovat
Руи-Пайда			Rui-Paida
Рукнобод			Ruknobod
Рунич				Runich
Рута				Ruta
Руфигар				Rufigar
С а н г и - Н а в и ш т а	Sang-e-Nawishta
С а р к е т а р ш а р		Sarketarshar
Сабзки				Sabzki
Савургон			Savurgon
Сагдор				Sagdor
Сайрон				Sairon
Сайёд				Saed
Сакидара			Sakidara
Сакпара				Sakpara
Сало-Работ			Salo-Rabot
Сальчусан			Salchusan
Самджон				Samjon
Самон-Сухта			Samon-Sukhta
Сангальт			Sangalt
Сангальтский Зуб		Sangalt Tooth
Сангассия			Sangassia
Сангдара			Sang-Dara
Санги Гул			Sang-e-Gul
Санги-Навишта			Sang-e-Nawishta
Санги-Осиёб			Sang-e-Osieb
Санги-Сиех			Sang-e-Siah
Сангикала			Sang-e-Kala
Сангикар			Sang-e-Kar
Сангинавишта			Sang-e-Nawishta
Сангиоб				Sang-e-Ob
Сангисад			Sang-e-Sad
Сангисафед			Sang-e-Safed
Сангисафет			Sang-e-Safed
Сангисероб			Sang-e-Serob
Сангистан			Sang-e-Stan
Сангхок				Sang-Hok
Сангчашма (Тошбулок)		Sang-Chashma (Tash-Bulak)
Сандалдарья			Sandal-Darja
Санджан				Sandjan
Санкайрак			Sankairak
Санки				Sanki
Санки-Буз			Sanki-Buz
Санки-Шахгар			Sanki-Shahgar
Саранай				Saranai
Сарбин				Sarbin
Сарвада (Зеравшан-1)		Sarvada (Zeravshan-1)
Сардай-Миена			Sardai-Miona
Сардай-Миёна			Sardai-Miona
Сари Шахо			Sar-e-Shiho
Сари Яктак			Sar-e-Yaktak
Сарикуль			Sar-e-Kul
Сарикутал			Sar-e-Kutal
Саринай				Sar-e-Nai
Сарипуль			Sar-e-Pul
Саркок				Sarkok
Сароф				Sarof
Сарчашмасой			Sar-Chashma-Sai
Сары-Обихунук			Sary-Ob-e-Khunuk
Сарыджаво			Sary-Javo
Сарыджангуль			Sary-Dzhangul
Сарыкаша			Sarykasha
Сарымат				Sarymat
Сарымат-Ховатский		Sarymat-Hovat
Сарынова			Sarynova
Сарыоб				Sary-Ob
Сарыпуль			Sar-e-Pul
Сарытаг				Sary-Tag
Сарыходан			Sary-Khodan
Сарыходан (35)			Sarykhodan
Сарыходан (36)			Sarykhodan
Сарыхуд				Sar-e-Khund
Сарышах				Sary-Shakh
Сарышаха Седло			Sary-Shakh Saddle
Сафед				Safed
Сафедоб				Safed-Ob
Сафедпош			Safed-Posh
Сафедчашма			Safed-Chashma
Сахуш				Sakhush
Саци-Илак			Saci-Ilan
Сая				Saja
Себдара				Sebdara
Севширин			Sevshirin
Седло Бодхоны			Bod-Khana Saddle
Седло Газнока			Gaznok Saddle
Седло Ганзы			Ganza Saddle
Седло Иглы			Takali Needle
Седло Пушноват			Pushnovat Saddle
Седло Такали			Takali Saddle
Седло Чапдары			Chapdara Saddle
Семдеград			Semdegrad
Серидевол			Seridevol
Серима				Serima
Серимадарун			Serima-Darun
Серимы				Serima
Сиама				Siama
Сиаминский			Siaminsky
Сиамы				Siama
Сиех				Sieh
Симиганч			Simiganch
Симич				Simich
Симоб				Simob
Симон				Simon
Сиоку				Sioku
Сиясанга			Siah-Sanga
Сиятурма			Siah-Turma
Сиёхдарак			Siah-Darak
Сиёхобдара			Siah-Ob-Dara
Согдиана			Sogdiana
Согдийский			Sogdian
Сойбиоба			Sai-Bioba
Сойкамара			Sai-Kamara
Соймаргузор			Sai-Marguzor
Сойраут				Sai-Raut
Сокан				Sokan
Соминг				Soming
Сони				Soni
Сорбо				Sorvo
Сорво				Sorvo
Софидарак			Sofi-Darak
Софоб (Дараисусоф)		Sofob (Dara-e-Susof)
Средне-Джаупайский		Middle Djaupay
Субаши				Subashi
Сувтор				Suvtor
Сувтор (Ганза З.)		Suvtor (Ganza W)
Сугуркишлак			Sugur-Kishlak
Сумлук				Sumluk
Сумлук				Sumluk
Сурбоб				Surbob
Суркол				Surkol
Сурх				Surkh
Сурх-Кух			Surkh-Kuh
Сурхак				Surhak
Сурхан				Surhan
Сурхат				Surhat
Сурхдара			Surkh-Dara
Сурхдара			Surkh-Dara
Сурхе				Surkhe
Сурхну				Surkhnu
Сурхоб				Surkh-Ob
Сурхоб				Surkh-Ob
Сурхоби				Surkh-Obi
Сурхок				Surkhok
Сутун-Камар			Sutun-Kamar
Суфтаир				Suftair
Суффа				Suffa
Сухта				Suhta
Тавасанг			Tavasang
Тавастин			Tavastin
Тавастин Ледопадный		Icefall Tavastin
Тавастин Угловой		Angled Tavastin
Тавиш				Tawish
Тавиши				Tawishi
Тавиши-Боло			Tawish-e-Bolo
Тагикучи			Tagi-Kuchi
Тагичинор			Tag-e-Chinar
Тагоб				Tagob
Тагоба				Tagoba
Тагоби-Джуфт			Tagobi-Djuft
Тагоби-Миона			Tagobi-Miena
Тагобидар			Tagobi-Dar
Тагобииспан			Tagob-e-Ispan
Тагобикуль			Tagob-e-Kul
Тагобикуль			Tagobi-Kul
Тагобикумарг			Tagob-e-Kumarg
Тагобипутхин			Tagob-e-Puthin
Тагобирарз			Tagob-e-Rarz
Тагобисайрон			Tagob-e-Sairon
Тагобисар			Tagobi-Sar
Тагобистанизасун		Tagob-e-Stan-e-Zasun
Тагобистаникрут			Tagib-e-Stan-e-Krut
Тагобихалк			Tagob-e-Halk
Тагобихушикат			Tagob-e-Khushikat
Тагриф				Tagrif
Тагрич				Tagrich
Таджутдин			Tadjutdin
Тайли				Taili
Тайро				Tairo
Такабош				Takabosh
Такали				Takali
Такали-Ушба			Takali-Ushba
Такоб				Takob
Такфон				Takfon
Талбас				Talbas
Талок				Talok
Тамархут			Tamarhut
Тамкулаксой			Tamkulak-Sai
Тамынген			Tamyngen
Тамынген-Джаупая		Tamyngen-Djupaya
Тамынген-Рама			Tamyngen-Rama
Тангисой			Tangi-Sai
Тандара				Tan-Dara
Тарма				Tarma
Тарок				Tarok
Тафттахта			Tafttahta
Тахматсой			Tahmatsoi
Тахоб				Tahob
Тахт				Takht
Тахтсулейман			Takht-Suleiman
Ташкуват			Tash-Kuvat
Ташкуталь			Tash-Kutal
Ташкутанстрой			Tash-Kutan-Stroi
Тега				Tega
Тейшах				Teishah
Темир-Тау			Temir-Tau
Темиртау			Temir-Tau
Темирхан			Temir-Khan
Терак-Дарья			Terak-Darja
Ти Шах				Ti-Shah
Ти-Шах				Ti-Shah
Тимурдара			Timur-Dara
Тимурдара			Timurdara
Тиоглы				Ti-Ogly
Типа				Tipa
Тогайписта			Togaipista
Тодэ				Tode
Тойкуталь			Toi-Kutal
Толзак				Tolzak
Толзок				Tolzak
Толикалон			Tol-e-Kalan
Толокисафед			Tolok-e-Safed
Томин				Tomin
Тро				Tro
Тро-Блок			Tro-Block
Тро-Блок II			Tro-Block II
Тугобдехисор			Tugob-Dehisor
Тудамо				Tudamo
Тудинаск			Tudanask
Тумчук				Tumchuk
Тумшак				Tumshak
Тунайлок			Tunailok
Тунихарт			Tunihart
Тунукча				Tunukcha
Турге				Turge
Туржунсой			Turzhun-Sai
Турзуль				Turzul
Турзульский			Turzul
Туро				Turo
Турт-Чашма			Turt-Chashma
Турткуль (Турзуль)		Turt-Kul (Turzul)
Турушбог			Turus-Bog
Тутек-пик			Tutek Peak
Тутэк				Tutek
Тюда				Tuda
Тюда				Tyda
Уатасой				Uata-Sai
Узл. Алло			Allo Nodal
Уланг				Ulang
Умдара				Um-Dara
Унзуд				Unzud
Унзуд Обходной			Unzud
Ураксай				Urak-Sai
Уреч				Urech
Урмитан				Urmitan
Уртосай				Urto-Sai
Урушта				Urushta
Успутта				Usputta
Устанак				Ustanak
Устонак				Ustanak
Устумбар			Ustumbar
Устунг				Ustung
Устунгсой			Ustung-Sai
Утагар				Utagar
Утогар				Utagar
Утогари-Боло			Utagar-e-Bolo
Учкадо				Uchkado
Ушрут				Ushrut
Уштак				Ushtak
Уштур				Ushtur
Уштурбутта			Ushturbutta
Уян				Ujan
Фагитор				Fagitor
Файзи				Faizi
Файзуллобод			Faizullobad
Фан-Улла			Fan-Ulla
Фандарья			Fan-Darja
Фанфарок			Fanfarok
Фарахнау			Farahnau
Фарахноу			Farahnow
Фарнау				Farnau
Фатамшутсой			Fatamshut-Sai
Фатиф				Fatif
Фатмаут				Fatmawut
Фатмев				Fatmev
Фатмовут			Fatmawut
Фашеч				Fashech
Филорт				Filort
Фиро-Банд			Firoband
Фирузаабад			Firuzabad
Фиснау				Fisnau
Фитурак				Fiturak
Х и л а л и к т а у		Hilalik-Tau
Х о д ж а б у т о н		Hoja-Buton
Хабеку				Habeku
Хавзак				Khavzak
Хавзоу				Havzow
Хаджагаспи			Hoja-Gaspi
Хаджикитоб			Khoja-Kitab
Хазархана			Khazar-Khana
Хазормеч			Khazor-Mech
Хазорхана			Khazar-Khana
Хазорхона			Khazar-Khana
Хазорчашма			Khazor-Chishma
Хазрет-Султан			Khazret-Sultan
Хайрабад			Khairabad
Хайрамбет			Khairambet
Хайронбед			Khaironbed
Хакими				Khakimi
Халончистон			Halonchiston
Хамидарча			Hamid-Archa
Хамсоя				Hamsoja
Ханака				Hanaka
Ханака-Лучоб			Hanaka-Luchob
Харагони			Haragoni
Харагони-Боло			Haragoni-Bolo
Харагони-Миона			Haragoni-Miona
Харак				Harak
Харангон			Harangon
Харбат				Kharbit
Харбиттау			Kharbit-Tau
Харвир				Kharvir
Харгум				Hargum
Харкуш (Чолб)			Khargush (Cholb)
Харкьюш				Khargush
Харомкуль			Harom-Kul
Хатанагуль			Hatan-Gul
Хатаногуль			Hatanogul
Хатымалики			Hatymaliki
Хафт				Haft
Хилмагэ				Hilmage
Хирсон				Hirson
Хиштирок			Hishtirok
Хоббит				Hobbit
Ховали				Hovali
Ховат				Hovat
Хогури				Hoguri
Ходанг				Hodang
Ходжа Насруд			Hoja-Nasrud
Ходжа Пайзи			Hoja-Paizi
Ходжа-Обигарм			Hoja-Obi-Garm
Ходжа-Чилимахрам		Hoja-Chilimahram
Ходжаабумусо			Hoja-Abumuso
Ходжабед			Hoja-Bed
Ходжагаспи			Hoja-Gaspi
Ходжаекуб			Hoja-e-Kub
Ходжазугур			Hoja-Zugur
Ходжаигарибон			Hoja-e-Garibon
Ходжаймусе			Hoja-e-Muse
Ходжаймусо			Hoja-e-Muso
Ходжакиик			Hoja-Kiik
Ходжалакан			Hoja-Lokan
Ходжамастон			Hoja-Maston
Ходжамафрач			Hoja-Mafrach
Ходжамафрач			Hoja-Mafrach
Ходжанокмах			Hoja-Nokmah
Ходжапайзи			Hoja-Paizi
Ходжароват			Hoja-Rovat
Ходжахасан			Hoja-Hasan
Ходжикишвар			Hoja-Kishwar
Хоки				Hoki
Холмон				Holmon
Хосилот				Hosilot
Хофизкада			Hofizkada
Хохт				Khoht
Хош-Хасан			Khush-Hasan
Худгифи Боло			Khudgifi-Bolo
Хулолод				Khulolod
Хуморигунт			Khumorigunt
Хунукак				Khunykak
Хуныкак				Khunykak
Хурдак				Khurdak
Хучируд				Khuchirud
Хушикат				Khushkat
Хушикат-2			Khushkat-2
Хушон				Khushon
Хушона				Khushona
Хушсамсуддин			Khushsamsuddin
Хуштарата			Khushtarata
Хуштарита			Khushtarita
Хушхаё				Khush-Khae
Хширт				Khshirt
Хширтаб				Khshirt-Ob
Хширтоб				Khshirt-Ob
Хырс				Khyrs
Чавдара				Chav-Dara
Чакель				Chakel
Чандыр				Chandyr
Чапакбаба			Chapak-Baba
Чапдара				Chap-Dara
Чапдара (Алаудинские озера)	Chap-Dara (Alaudin)
Чарбидара			Charbi-Dara
Чартак				Chartak
Чашма				Chashma
Чашмаалмалык			Chashma-Almalyk
Чашмардак			Chashmardak
Чашмасанг			Chashma-Sang
Чашмидарас			Chashm-e-Daras
Чедырсань			Chedyrsan
Челтурсой			Cheltur-Sai
Чептура				Cheptura
Черахмазар			Cherah-Mazar
Чермохзакон			Chermohzakan
Чиликак				Chilikak
Чилокак				Chilokak
Чилсолати			Chilsolati
Чильдухтарахан			Childuhtarhan
Чимкуйды			Chuikumdy
Чимтарга			Chimtarga
Чинар				Chinar
Чичкан				Chichkan
Чор-Дыр				Chor-Dyr
Чорбог				Chor-Bog
Чорводор			Chor-Vodor
Чоргуль				Chorgul
Чордыр				Chor-Dyr
Чоре				Chore
Чори				Chori
Чориф				Chorif
Чорроха				Chorroha
Чукалик				Chukalik
Чукат				Chukat
Чукур Айлок			Chukur-Ailok
Чукурак				Chukurak
Чукури				Chukury
Чукуры				Chukury
Чукурыдара			Chukury-Dara
Чуракдара			Churak-Dara
Чуча				Chucha
Чуча спортивная			Chucha Sport
Чучи				Chuchi
Чуянчи				Chuyanchi
Шавадки-Боло			Shavatki-Bolo
Шаватки Боло			Shavatki-Bolo
Шаватки Поён			Shavatki-Poen
Шадон				Shadon
Шаид				Shaid
Шамe				Shame
Шамал				Shamal
Шараго				Sharago
Шарахо (Волгонд)		Sharakh (Volgond)
Шаррак				Sharrak
Шаршара				Sharshera
Шаршера				Sharshera
Шаукартау			Shaukartau
Шаухан				Shauhan
Шаучкан				Shauchkan
Шахазар				Shahazar
Шахбас				Shahbas
Шахисафед			Shah-e-Safed
Шахмансай			Shahmansai
Шахристан			Shahristan
Шахсара				Shahsara
Шашкат				Shashkat
Шелум 1				Shelum 1
Шибир				Shibir
Шинг				Shing
Шингак				Shingak
Ширатало			Shirtalo
Ширкент				Shirkent
Ширкентский Барьер		Shirkent Barrier
Шовита				Shovita
Шогун-Ага			Shogun-Aga
Шогунага			Shogun-Aga
Шодмони				Shodmoni
Шол				Shol
Шоликунгурот			Sholikungurot
Шориоюч				Shorioyuch
Шохи-Буз			Shohi-Buz
Шулук				Shuluk
Шульхазор			Shulhazar
Шурак				Shurak
Шурасой				Shura-Sai
Шурмашк				Shurmashk
Шурпаст				Shurpast
Шурхок				Shurhok
Шутки				Shutki
Энергия				Energia
Эскидарх			Eskidarkh
Юлдаша				Yuldasha
Юра				Yura
Юртаказан			Yurta-Kazan
Юртыкара			Jurty-Kara
Яван				Yavan
Явроз				Yavroz
Ягноб				Jagnob
Яйлокчакуриш			Yailochakurish
Якарча				Jakarcha
Яккатут				Yakkatut
Яккачугз			Yakkachugz
Яккачугз-Боло			Yakkachugz-Bolo
Якольма				Yakolma
Якум				Yakum
Якум-Су				Yakum-Suu
Ямансу				Yamansu
Янгаклык			Yangalyk
Янзар				Yanzar
Ярм				Yarm
Яфрак				Yafrak
Яфуч				Jafuch
Яхдор				Yakhdor
Яхкахона			Jakhka-Khana
Яхоб				Yakhob
Т о ч и к у и с а ф е д		Tochiku-e-Safed
з а п о в е д н и к   Р о м и т	Romit nat.reserve
заповедник Ромит		Romit nat.reserve
Хаданг				Hadang
мавз.Рудаки			Rudaki maus.
Кумарг				Kumarg
Дубои Шарки			Dubai-Sharki
Тарор				Taror
Пакшиф			Pakshif
Палдорак			Paldorak
Кабуди				Kabudi
Парвоз				Parvoz
кр.Лешти			Leshti fortress
тун. Анзоб (Истиклол)		Anzob (Istiklol) tunnel
Яхоб				Yahob
Гурмаакба			Gurma-Akba

### Фамилии

Гусева-Мухина			Gusev-Mukhin
И.Бандривского			I.Bandrivsky
Шолохова			M.Sholohov
Чаплыгина			Chaplygina
Тынинкина			Tyninkin
А.Блока				A.Block
А.Галича			A.Galich
Шаповалов И.П.			I.Shapovalov
Ю.Визбора			Yu.Vizbor
Визбора				Yu.Vizbor
Хомякова К.П.			K.Khomyakov
Хохрякова			Khokhryakov
Туполева			A.Tupolev
Суткина				Sutkin
Преображенского			Preobrazhensky
Папогребского			Papogrebsky
Петренко В.Я.			V.Petrenko
!Н. Волкова			N.Volkov
Москальцева А.В.		A.Moskalcev
!М.Цветаевой			M.Tsvetaeva
Летчика Игоря Егорова		I.Egorov
Летчика Шаповалова И.П.		I.Shapovalov
Мушкетова			I.Mushketov
Омар Хайям			O.Khayyam
Кокирович			Kokirovich
!Е.Абалакова			E.Abalakov
Авиценны			Avicenna
Авиценны (102)			Avicenna (102)
Золотарева Ю.И.			Yu.Zolotarev
Куйбышева			V.Kuibyshev
Курчатова			I.Kurchatov
Липского			Lipsky
Бадыгина			Badygin
Блока				Blok
!Б. Пастернака			B.Pasternak
Бузинова			Buzinov
Веры Криворучко			V.Krivoruchko
Гастелло (С., Ю.)		N.Gastello (N,S)
Даукаева А.Г			A.Daukaev
Карпинского			Karpinsky
Джо Дассена			Joe Dassin

### Простые географические

Кузбасс				Kuzbass
Башкирия			Bashkiria
Сибирь				Sibir
Балтия				Baltia
Владивосток			Vladivostok
Челябинск			Chelyabinsk
Караганда			Karaganda
Бородино			Borodino
Енисей				Enisei
Москва				Moscow
Ленинград			Leningrad
Жигули				Zhiguli
Зеленоград			Zelenograd
Черемушки			Cheremushki
Томск				Tomsk
Симбирск			Simbirsk
Полярные Зори			Polarnye Zori
Полтава				Poltava
Полтава-2			Poltava-2
Вильнюс				Vilnius
Одесса				Odessa
Харьков				Kharkiv
Славутич			Slavutich
Кринички			Krinichki
Саманканд			Samarkand
Бухара				Bukhara
Престон				Preston
Кендал				Kendal
Ланкастер			Lancaster
Голгофа				Golgofa

Болгарский			Bulgarian
Эстонский			Estonian
Польский			Polish
Сибирский			Siberian
Алтайский			Altai
Кишиневский			Kishinev
Омский				Omsk
Самарский			Samara
Саратовский			Saratov
Волжский			Volzhsky
Челябинский			Cheliabinsk
Петроградский			Petrograd
Бухарский			Bukharian
Карельский			Karelian
Криворожский			Krivorozhsky
Согдийский			Sogdiisky
Лучобский			Luchobsky

Ташкентец			Tashkentets
Петроградец			Petrogradets
Сибиряк				Sibirian


### Сложные географические

Крылья Таджикистана		Tajikistan Wings
Фанская сказка			Fanskaya Skazka
Героев Курской Битвы		Heroes of Kursk Battle
Комсомолец Алтая		Altay Komsomol
Москвичей Седло			Moscow Saddle
Седло Калужан			Kaluga Saddle
Тадж.Ученых			Tadj.Scientists
Волжская Коммуна		Volga Commune
Волжский комсомолец		Volga Komsomol
875л г.Владимир			875y Vladimir city
60 лет СССР			60y USSR
Революции Кубы			Cuba Revolution
Рижских девченок		Riga Girls
Сибиряков-гвардейцев		Siberian Guards
Молодость Сибири		Youth of Siberia
Московской Олимпиады		Moscoy Olimpics
Дальневосточников		Far-Easterners
Днепродзержинских туристов	Dneprodzerzhinsk Tourists
Уфимских Мотостроителей		Ufa Metrostroy
Андор ослиный			Andor Osliny

### Аббривиатуры и т.п.

ЦС по туризму		CST
ФиС			FiS
МАК			MAK
СОАН			SOAN
ТСХИ			TSHI
ВАА			VAA
ВЭИ			VEI
ДКТ			DKT
ГПП			GPP
МГУ			MSU
ХПИ			HPI
РГО			RGO
ХТЗ			HTZ
Политехник		Polytechnik
Санпросвет		Sanprosvet
Электромедик		Electromedik
зона отдыха МВД		MVD resort
25 лет т/к Гастелло	25y t/c Gastello
40 лет Победы		40y Victory
50 лет НИСИ		50y NISI
XXX лет Варзоба		30y Varzob camp
Всесоюзного слета	Vsesouzny Slet
Группы Дмитриева	Dmitriev Group

### Прилагательные - не нуждающиеся в переводе

Юбилейный		Jubelee
Юбилейная		Jubelee
Олимпийский		Olympic
Центральный		Central
Адмиралтейский		Admiralty
Гранитный		Granitic
Каньонный		Canyon
Пирамидальный		Pyramidal
Панорамный		Panoramic
Параллельный		Parallel
Треугольный		Triangular

### Прилагательные

Безымянная		Bezymyanny
Безымянный		Bezymyanny
Восточный		Vostochny
Широкая			Shiroky
Ледниковый		Lednikovy
Ледовый			Ledovy
Ближний			Blizhny
Ближняя			Blizhnaya
Яшмовый			Yashmovy
Дождемерная		Dozhdemernaya
Двойной			Dvoynoy
Кальгаспорный		Kalgasporny
Межозерный		Mezhozerny
Белое			Beloye
Лесное			Lesnoe
Обзорный		Obzorny
Красноключенский	Krasnokljuchensky
Промежуточный		Promezhutochny
Яшмовая			Yashmovaya
Разведочный		Razvedochny
Северный		Severny
Скалистый		Skalisty
Сыпучая			Sypuchaya
Траверсный		Traversny
Черный			Cherny
Экспедиционный		Ekseditsionny
Звериный		Zveriny
Звериный Ложн.		False Zveriny
Звериный-2		Zveriny-2
Желтая			Zheltaya
Вечерний		Vecherny
Союзный			Soyuzny
Двуязычный		Dvujazychny
Бирюзовое		Birjuzovoje
Hенастный		Nenastny
Баснословный		Basnoslovny
Боковой			Bokovoy
Невезучая		Nevezuchaya
Неожиданный		Neozhidanny
Неприветливый		Neprivetlivy
Нескиданный		Neskidanny
Пешая			Peshaya
Пеший			Peshiy
Просторный		Prostorny
Проходной		Prohodnoy
Птичий			Ptichiy
Пастуший		Pastushy
Рыжий			Ryzhiy
Снежная			Snezhnaya
Снежный			Snezhny
Солнечный II		Solnechny II
Сыпучий			Sypuchy
Транзитный		Transitny
Удобный-1		Udobny-1
Удобный-2		Udobny-1
Удобный-3		Udobny-1
Удобный-4		Udobny-1
Удобный-5		Udobny-1
Узловой			Uzlovoy
Учебный			Uchebny
Фестивальная		Festivalnaya
Фестивальный		Festivalny
Философский		Filosofsky
Хвостовой		Hvostovoy
Чумной			Chumnoy
Школьный		Shkolny
Бивачная		Bivachnaya
Блакитный		Blakitny
Ветреный		Vetrenny
Волнистый		Volnisty
Воробьиный		Vorobjiny
Граненый		Graneny
Крайняя			Kraynaya
Каровый			Karovaya
Оловянный		Olovyanny
Оружейный		Oruzheiny
Осенний			Osenny
Серая			Seraya
Средняя			Srednaya
Стажерский		Stazhersky
Старый			Stary
Студенческая		Studenchesky
Студеный		Studeny
Суровый			Surovy
Плакарный		Plakarny
Последний		Posledny
Домашняя		Domashnaya
Дополнительный		Dopolnitelny
Дружных			Druzhnyh
Дырявая			Dyryavaya
Звездный		Zvezdny
Зубной			Zubnoy
Короткий		Korotky
Круглая			Kruglaya
Кругозорная		Krugozornaya
Крутой			Krutoy
Кулуарный		Kuluarny
Боковой			Bokovoy
Ленивый			Lenivy
Логичный		Logichny
Переметный		Peremetny
Луговой			Lugovoy
Лунный			Lunny
Метеорный		Meteorny
Мирный			Mirny
Мраморный		Mramorny
Майская			Mayskaya
Сентябрьский		Sentyabrsky
Желтый			Zhelty

### Существительные, не нуждаются в переводе

Блок			Block
Блок-2			Block-2
Флюорит			Flourit
Кальцит			Calcite
Флибустьер		Filibuster
Кентавр			Centaurus
Авиаторов		Aviators
Адмиралтеец		Admiralty
Бастионы		Bastions
Виктория		Victoria
Белое пятно		Blank Spot
Инструктор		Instructor
Цирк			Circus
Пирамиды		Pyramids
Кремль			Kremlin
Лабиринт		Labirinth
Спутник			Sputnik

### Существительные, перевод

Ложный			False
Близнецы		Twins
Геолог			Geologist
Трезубец		Trident
Октябрь			October
Окно			Window
Игла			Needle
Чайка			Seagull
Шлем			Helmet
Ястреб			Hawk

Обзорный Пункт		View Point
Черная Башня		Black Tower
Сахарная Голова		Sugar Head
Медвежьи ворота		Bear Gates
Бел.Пирамида		White Pyramid
Бел.Пирамиды		White Pyramid
Каменные Ворота		Stone Gates
Каменных идолов		Stone Idols
Ск.Стена		Stone Wall
Кр.Зорь			Red Dawns
Снежный Купол		Snow Dome
Золотые Ворота		Golden Gate
Серый Утес		Grey Cliff
Медвежий Замок		Bear Castle

### Прочие существительные

Орбита			Orbita
Спокойствия		Spokoystviya
Барс			Bars
Белый Барс		Bely Bars
Башня			Tower
Боксеры			Boksery
Борцов за мир		Bortsov za Mir
Борцов за Мир		Bortsov za Mir
Динозаврик		Dinozavrik
Дитя			Ditya
Грешников		Greshnikov
Кораблики		Korabliki
Линкор			Linkor
Мученики		Mucheniki
Надежда			Nadezhda
Озерный			Ozerny
Пальцы			Fingers
Сказок			Skazok
Собор			Sobor
Ступенька		Stupenka
Замок			Zamok
Змея			Zmeja
Шахтер			Shahter
Энергия			Energia
Союз			Soyuz
Малышка			Malyshka
Четырех			Chetyreh
Бойница			Boinitsa
Буревестник		Burevestnik
Горняк			Gornyak
Двузубка		Dvuzubka
Двух			Dvuh
Встреч			Vstrech
Сурьма			Surma
Дочерей			Docherey
Любимых			Lyubimyh
Дружбы народов		Druzhba Narodov
Звездочка		Zvezdochka
Значкист		Znachkist
Космонавтов		Cosmonauts
Космоснимков		Cosmosnimkov
Лавин			Lavin
Машенька		Mashenka
Медвежий		Medvezhy
Медиков			Medikov
Мечта			Mechta
Надежды			Nadezhdy
Наука			Nauka
Снежного барса		Snezhny Bars
Невидимка		Nevidimka
Новорожденных		Novorozhdennyh
Носорог			Nosorog
Панорамка		Panoramka
Перемога		Peremoga
Разведчик		Razvedchik
Ресничка		Resnichka
Салют			Salut
Соска			Soska
Пяти			Pyati
Трех			Treh
Тюлень			Tulen
Улар			Ular
Ушко			Ushko
Фронтовых бригад	Frontovyh Brigad
Юность			Yunost

### Игра слов

На-Имат			Na-Imat
!Трех М.		Three M
Ди-Сер-Та		Di-Ser-Ta
Бо-Бо			Bo-Bo


